trial_name,drug,drug_class,comparator,comparator_class,n_total,n_intervention,n_control,median_followup_years,population,pct_t2dm,pct_established_cvd,mean_age_years,pct_female,mean_bmi,mean_hba1c_pct,mace3p_events_int,mace3p_total_int,mace3p_events_ctrl,mace3p_total_ctrl,mace3p_hr,mace3p_hr_lci,mace3p_hr_uci,cv_death_hr,cv_death_hr_lci,cv_death_hr_uci,nonfatal_mi_hr,nonfatal_mi_hr_lci,nonfatal_mi_hr_uci,nonfatal_stroke_hr,nonfatal_stroke_hr_lci,nonfatal_stroke_hr_uci,allcause_death_hr,allcause_death_hr_lci,allcause_death_hr_uci,hf_hosp_hr,hf_hosp_hr_lci,hf_hosp_hr_uci,weight_change_kg_int,weight_change_kg_ctrl,sbp_change_mmhg_int,sbp_change_mmhg_ctrl,hba1c_change_pct_int,hba1c_change_pct_ctrl
LEADER,Liraglutide,GLP-1 RA,Placebo,Placebo,9340,4668,4672,3.8,T2DM + CV risk,100,81,64.3,35.7,32.5,8.7,608,4668,694,4672,0.87,0.78,0.97,0.78,0.66,0.93,0.88,0.75,1.03,0.89,0.72,1.11,0.85,0.74,0.97,0.87,0.73,1.05,-2.3,0.0,-1.2,0.0,-0.40,0.00
SUSTAIN-6,Semaglutide SC,GLP-1 RA,Placebo,Placebo,3297,1648,1649,2.1,T2DM + CV risk,100,83,64.6,39.3,32.8,8.7,108,1648,146,1649,0.74,0.58,0.95,0.98,0.65,1.48,0.74,0.51,1.08,0.61,0.38,0.99,1.05,0.74,1.50,1.11,0.77,1.61,-3.6,-0.7,-1.3,0.0,-0.70,-0.40
EXSCEL,Exenatide QW,GLP-1 RA,Placebo,Placebo,14752,7356,7396,3.2,T2DM +/- CVD,100,73,62.0,38.0,32.7,8.0,839,7356,905,7396,0.91,0.83,1.00,0.88,0.76,1.02,0.97,0.85,1.10,0.85,0.70,1.03,0.86,0.77,0.97,0.94,0.78,1.13,-1.3,0.0,-1.6,-0.8,-0.53,-0.01
Harmony Outcomes,Albiglutide,GLP-1 RA,Placebo,Placebo,9463,4731,4732,1.6,T2DM + CVD,100,100,64.1,30.4,32.3,8.7,338,4731,428,4732,0.78,0.68,0.90,0.93,0.73,1.19,0.75,0.61,0.90,0.86,0.66,1.14,0.95,0.79,1.16,0.85,0.70,1.04,-0.8,0.0,-0.7,0.0,-0.52,-0.04
REWIND,Dulaglutide,GLP-1 RA,Placebo,Placebo,9901,4949,4952,5.4,T2DM + CV risk,100,31,66.2,46.3,32.3,7.2,594,4949,663,4952,0.88,0.79,0.99,0.91,0.78,1.06,0.96,0.79,1.16,0.76,0.61,0.95,0.90,0.80,1.01,0.93,0.77,1.12,-1.5,0.0,-1.7,-0.5,-0.61,0.06
PIONEER 6,Oral semaglutide,GLP-1 RA,Placebo,Placebo,3183,1591,1592,1.3,T2DM + CV risk,100,85,66.0,32.0,32.3,8.2,61,1591,76,1592,0.79,0.57,1.11,0.49,0.27,0.92,1.18,0.73,1.90,0.74,0.35,1.57,0.51,0.31,0.84,0.86,0.48,1.55,-1.0,0.5,-2.6,0.0,-0.70,0.00
AMPLITUDE-O,Efpeglenatide,GLP-1 RA,Placebo,Placebo,4076,2717,1359,1.8,T2DM + CVD/CKD,100,90,64.5,32.3,33.0,8.9,189,2717,125,1359,0.73,0.58,0.92,0.72,0.50,1.03,0.75,0.54,1.05,0.74,0.47,1.17,0.78,0.58,1.06,0.61,0.38,0.98,-0.8,0.0,-2.1,-0.4,-0.70,0.00
SELECT,Semaglutide 2.4mg,GLP-1 RA,Placebo,Placebo,17604,8803,8801,3.4,Non-DM obesity + ASCVD,0,100,61.6,27.5,33.4,5.8,569,8803,701,8801,0.80,0.72,0.90,0.85,0.71,1.01,0.72,0.61,0.85,0.93,0.74,1.15,0.81,0.71,0.93,0.82,0.71,0.96,-9.4,-0.9,-3.8,-0.5,0.00,0.00
SOUL,Oral semaglutide,GLP-1 RA,Placebo,Placebo,9650,4826,4824,4.0,T2DM + ASCVD/CKD,100,80,66.0,34.0,31.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
SURPASS-CVOT,Tirzepatide,GLP-1/GIP dual,Dulaglutide,GLP-1 RA,13299,6650,6649,3.0,T2DM + ASCVD,100,100,64.0,33.0,33.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
