study,treatment1,treatment2,lnhr,se_lnhr,outcome
LEADER,Liraglutide,Placebo,-0.1393,0.0557,3p-MACE
SUSTAIN-6,Semaglutide_SC,Placebo,-0.3012,0.1265,3p-MACE
EXSCEL,Exenatide,Placebo,-0.0943,0.0479,3p-MACE
Harmony_Outcomes,Albiglutide,Placebo,-0.2485,0.0716,3p-MACE
REWIND,Dulaglutide,Placebo,-0.1278,0.0575,3p-MACE
PIONEER_6,Oral_semaglutide,Placebo,-0.2357,0.1705,3p-MACE
AMPLITUDE_O,Efpeglenatide,Placebo,-0.3147,0.1187,3p-MACE
SELECT,Semaglutide_2.4mg,Placebo,-0.2231,0.0572,3p-MACE
LEADER,Liraglutide,Placebo,-0.2485,0.0881,CV_death
SUSTAIN-6,Semaglutide_SC,Placebo,-0.0202,0.2102,CV_death
EXSCEL,Exenatide,Placebo,-0.1278,0.0755,CV_death
Harmony_Outcomes,Albiglutide,Placebo,-0.0726,0.1248,CV_death
REWIND,Dulaglutide,Placebo,-0.0943,0.0790,CV_death
PIONEER_6,Oral_semaglutide,Placebo,-0.7133,0.3120,CV_death
AMPLITUDE_O,Efpeglenatide,Placebo,-0.3285,0.1862,CV_death
SELECT,Semaglutide_2.4mg,Placebo,-0.1625,0.0910,CV_death
LEADER,Liraglutide,Placebo,-0.1278,0.0819,nonfatal_MI
SUSTAIN-6,Semaglutide_SC,Placebo,-0.3012,0.1912,nonfatal_MI
EXSCEL,Exenatide,Placebo,-0.0305,0.0658,nonfatal_MI
Harmony_Outcomes,Albiglutide,Placebo,-0.2877,0.0998,nonfatal_MI
REWIND,Dulaglutide,Placebo,-0.0408,0.0979,nonfatal_MI
PIONEER_6,Oral_semaglutide,Placebo,0.1655,0.2449,nonfatal_MI
AMPLITUDE_O,Efpeglenatide,Placebo,-0.2877,0.1703,nonfatal_MI
SELECT,Semaglutide_2.4mg,Placebo,-0.3285,0.0854,nonfatal_MI
LEADER,Liraglutide,Placebo,-0.1165,0.1110,nonfatal_stroke
SUSTAIN-6,Semaglutide_SC,Placebo,-0.4943,0.2449,nonfatal_stroke
EXSCEL,Exenatide,Placebo,-0.1625,0.0990,nonfatal_stroke
Harmony_Outcomes,Albiglutide,Placebo,-0.1508,0.1398,nonfatal_stroke
REWIND,Dulaglutide,Placebo,-0.2744,0.1138,nonfatal_stroke
PIONEER_6,Oral_semaglutide,Placebo,-0.3012,0.3809,nonfatal_stroke
AMPLITUDE_O,Efpeglenatide,Placebo,-0.3012,0.2330,nonfatal_stroke
SELECT,Semaglutide_2.4mg,Placebo,-0.0726,0.1131,nonfatal_stroke
LEADER,Liraglutide,Placebo,-0.1625,0.0698,allcause_death
SUSTAIN-6,Semaglutide_SC,Placebo,0.0488,0.1814,allcause_death
EXSCEL,Exenatide,Placebo,-0.1508,0.0596,allcause_death
Harmony_Outcomes,Albiglutide,Placebo,-0.0513,0.0981,allcause_death
REWIND,Dulaglutide,Placebo,-0.1054,0.0600,allcause_death
PIONEER_6,Oral_semaglutide,Placebo,-0.6733,0.2546,allcause_death
AMPLITUDE_O,Efpeglenatide,Placebo,-0.2485,0.1545,allcause_death
SELECT,Semaglutide_2.4mg,Placebo,-0.2107,0.0694,allcause_death
LEADER,Liraglutide,Placebo,-0.1393,0.0934,HF_hosp
SUSTAIN-6,Semaglutide_SC,Placebo,0.1044,0.1884,HF_hosp
EXSCEL,Exenatide,Placebo,-0.0619,0.0948,HF_hosp
Harmony_Outcomes,Albiglutide,Placebo,-0.1625,0.1016,HF_hosp
REWIND,Dulaglutide,Placebo,-0.0726,0.0959,HF_hosp
PIONEER_6,Oral_semaglutide,Placebo,-0.1508,0.2976,HF_hosp
AMPLITUDE_O,Efpeglenatide,Placebo,-0.4943,0.2418,HF_hosp
SELECT,Semaglutide_2.4mg,Placebo,-0.1985,0.0772,HF_hosp
